record_class,_basis,scale,mode,replicate,frame,active_cycles,blocked_cycles,wall_cycles,latency_ns,active_wall_pct,equivalence_predicted,status
DATA,DATASET,S0,CPU_ONLY,_RUN_1,26,74216,527779,601995,18242259,12.328342,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,27,73233,490502,563735,17082886,12.990678,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,28,76447,546710,623157,18883550,12.267695,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,29,74818,521379,596197,18066569,12.549208,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,30,71305,487514,558819,16933921,12.759946,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,31,71759,556045,627804,19024376,11.430160,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,32,79090,528670,607760,18416965,13.013361,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,33,74517,517426,591943,17937657,12.588543,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,34,69510,502904,572414,17345880,12.143309,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,35,63492,555426,618918,18755077,10.258548,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,36,73824,494662,568486,17226850,12.986072,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,37,67358,505607,572965,17362581,11.756041,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,38,70979,514262,585241,17734589,12.128166,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,39,74220,500806,575026,17425027,12.907242,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,40,73327,491821,565148,17125704,12.974831,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,41,74948,517766,592714,17961021,12.644884,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,42,71793,527058,598851,18147007,11.988458,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,43,72659,526282,598941,18149723,12.131245,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,44,69409,519438,588847,17843852,11.787272,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,45,77119,515187,592306,17948681,13.020128,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,46,67552,530191,597743,18113411,11.301178,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,47,85671,499172,584843,17722513,14.648547,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,48,70773,518414,589187,17854140,12.011976,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,49,75741,539352,615093,18639177,12.313748,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,50,71799,519220,591019,17909666,12.148340,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,51,80091,501799,581890,17633044,13.763942,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,52,68671,521503,590174,17884056,11.635721,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,53,79706,486766,566472,17165821,14.070598,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,54,72403,496113,568516,17227745,12.735438,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,55,70606,514320,584926,17725031,12.070929,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,56,74071,509341,583412,17679165,12.696174,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,57,71321,510370,581691,17627007,12.260977,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,58,69928,521529,591457,17922935,11.823007,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,59,71783,493073,564856,17116849,12.708195,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,60,68340,527664,596004,18060736,11.466366,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,61,70224,515122,585346,17737770,11.997007,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,62,67986,562825,630811,19115485,10.777555,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,63,67840,515970,583810,17691201,11.620219,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,64,74712,490854,565566,17138370,13.210129,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,65,78194,515795,593989,17999676,13.164217,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,66,70708,527333,598041,18122452,11.823270,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,67,64392,551162,615554,18653155,10.460821,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,68,73851,531588,605439,18346637,12.197926,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,69,75284,499542,574826,17418982,13.096833,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,70,72772,503777,576549,17471196,12.621997,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,71,73058,561413,634471,19226396,11.514789,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,72,67445,523060,590505,17894076,11.421580,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,73,66222,551995,618217,18733858,10.711773,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,74,73291,506780,580071,17577904,12.634833,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,75,71099,491316,562415,17042886,12.641733,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,76,74403,534242,608645,18443780,12.224367,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,77,68226,489988,558214,16915584,12.222194,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,78,75641,553595,629236,19067764,12.021086,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,79,66254,506500,572754,17356177,11.567619,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,80,70081,522869,592950,17968183,11.819040,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,81,78715,517456,596171,18065802,13.203427,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,82,74849,509155,584004,17697098,12.816522,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,83,68255,564339,632594,19169515,10.789701,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,84,81755,529951,611706,18536557,13.365081,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,85,68182,531514,599696,18172591,11.369427,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,86,73271,536322,609593,18472519,12.019659,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,87,69968,568239,638207,19339598,10.963214,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,88,74938,518025,592963,17968576,12.637888,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,89,70761,543316,614077,18608388,11.523148,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,90,75971,511350,587321,17797618,12.935175,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,91,77316,489515,566831,17176692,13.640044,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,92,74299,516060,590359,17889675,12.585393,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,93,69309,518295,587604,17806170,11.795189,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,94,75902,503543,579445,17558940,13.099086,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,95,69267,524327,593594,17987703,11.669087,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,96,73412,536967,610379,18496319,12.027281,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,97,72580,524036,596616,18079273,12.165279,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,98,72309,505584,577893,17511906,12.512524,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,99,69983,549493,619476,18772009,11.297129,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,100,69471,514837,584308,17706300,11.889449,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,101,73486,497078,570564,17289818,12.879537,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,102,69980,528089,598069,18123314,11.700991,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,103,71337,526286,597623,18109775,11.936790,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,104,72732,525409,598141,18125470,12.159675,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,105,68367,522725,591092,17911874,11.566220,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,106,69265,506345,575610,17442736,12.033321,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,107,75336,530118,605454,18347085,12.442894,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,108,70299,491710,562009,17030568,12.508519,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,109,66882,517270,584152,17701577,11.449417,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,110,75325,521223,596548,18077224,12.626813,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,111,69311,526033,595344,18040713,11.642177,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,112,73272,538977,612249,18552999,11.967680,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,113,75743,525998,601741,18234590,12.587309,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,114,71006,510080,581086,17608662,12.219534,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,115,72500,513676,586176,17762897,12.368299,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,116,66886,515812,582698,17657513,11.478673,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,117,72106,504447,576553,17471302,12.506396,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,118,76229,511470,587699,17809048,12.970755,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,119,70415,524875,595290,18039084,11.828689,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,120,72235,518639,590874,17905284,12.225111,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,121,71551,531190,602741,18264877,11.870936,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,122,69014,518098,587112,17791283,11.754827,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,123,70810,524720,595530,18046358,11.890249,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,124,75342,507363,582705,17657730,12.929699,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,125,65798,489885,555683,16838893,11.840924,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,126,73441,521007,594448,18013587,12.354487,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,127,67253,523315,590568,17895988,11.387850,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,128,73929,516417,590346,17889267,12.522995,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,129,74492,544784,619276,18765926,12.028885,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,130,72130,526825,598955,18150141,12.042641,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,131,77926,495908,573834,17388897,13.579885,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,132,71075,505143,576218,17461163,12.334741,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,133,73081,496916,569997,17272651,12.821296,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,134,63661,530477,594138,18004192,10.714851,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,135,75206,529424,604630,18322119,12.438351,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,136,70740,531644,602384,18254059,11.743340,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,137,64683,547867,612550,18562112,10.559628,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,138,73299,527940,601239,18219372,12.191325,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,139,67373,508947,576320,17464242,11.690207,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,140,65948,500695,566643,17170997,11.638368,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,141,72634,532923,605557,18350221,11.994577,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,142,73211,515810,589021,17849114,12.429268,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,143,68667,497201,565868,17147504,12.134809,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,144,69450,520084,589534,17864670,11.780491,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,145,80763,517780,598543,18137679,13.493266,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,146,76808,525760,602568,18259629,12.746777,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,147,77612,517030,594642,18019441,13.051887,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,148,71251,527702,598953,18150078,11.895925,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,149,70627,506927,577554,17501648,12.228640,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,150,71337,511539,582876,17662919,12.238795,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,151,69209,547641,616850,18692438,11.219745,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,152,72773,528346,601119,18215741,12.106255,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,153,67779,500810,568589,17229976,11.920561,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,154,70890,509840,580730,17597879,12.207050,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,155,70948,507286,578234,17522244,12.269773,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,156,70342,549164,619506,18772904,11.354531,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,157,72963,532579,605542,18349761,12.049206,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,158,71049,512535,583584,17684376,12.174597,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,159,65006,518661,583667,17686891,11.137515,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,160,77596,521060,598656,18141083,12.961701,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,161,71201,501381,572582,17350955,12.435075,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,162,67598,508268,575866,17450487,11.738495,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,163,68559,533896,602455,18256211,11.379937,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,164,69021,547788,616809,18691182,11.190012,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,165,74235,536207,610442,18498238,12.160860,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,166,66462,550145,616607,18685053,10.778665,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,167,67865,518534,586399,17769660,11.573178,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,168,68899,530188,599087,18154141,11.500667,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,169,75953,539788,615741,18658828,12.335219,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,170,69975,514716,584691,17717915,11.967860,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,171,76140,487915,564055,17092577,13.498684,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,172,69433,511233,580666,17595948,11.957476,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,173,73855,484763,558618,16927807,13.221020,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,174,71849,500699,572548,17349938,12.548992,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,175,77564,517225,594789,18023921,13.040591,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,176,67400,521058,588458,17832046,11.453664,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,177,72925,501657,574582,17411562,12.691835,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,178,72286,525583,597869,18117236,12.090608,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,179,75035,537132,612167,18550505,12.257276,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,180,70986,515315,586301,17766700,12.107433,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,181,72108,501565,573673,17384033,12.569530,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,182,70529,560744,631273,19129477,11.172504,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,183,76748,510201,586949,17786328,13.075753,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,184,73451,522948,596399,18072705,12.315748,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,185,74515,509322,583837,17692028,12.762980,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,186,69119,519752,588871,17844587,11.737545,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,187,70717,526868,597585,18108628,11.833798,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,188,70696,516153,586849,17783308,12.046710,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,189,76445,481955,558400,16921224,13.690007,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,190,69523,511644,581167,17611132,11.962654,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,191,71824,519968,591792,17933084,12.136697,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,192,68281,509390,577671,17505179,11.820050,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,193,75517,544096,619613,18776157,12.187769,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,194,71287,507523,578810,17539707,12.316131,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,195,71813,530157,601970,18241513,11.929664,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,196,70055,539135,609190,18460317,11.499696,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,197,66755,510021,576776,17478050,11.573817,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,198,75355,529908,605263,18341293,12.449960,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,199,64992,562443,627435,19013168,10.358364,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,200,77469,527638,605107,18336583,12.802529,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,201,68082,515207,583289,17675420,11.672087,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,202,73516,530599,604115,18306508,12.169206,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,203,72657,540511,613168,18580860,11.849444,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,204,76556,500161,576717,17476258,13.274448,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,205,80931,457563,538494,16317994,15.029137,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,206,68097,507507,575604,17442545,11.830529,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,207,69546,539027,608573,18441619,11.427717,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,208,72005,521126,593131,17973656,12.139814,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,209,70039,518513,588552,17834896,11.900223,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,210,69653,500649,570302,17281887,12.213354,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,211,75587,516100,591687,17929910,12.774829,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,212,73095,507003,580098,17578738,12.600457,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,213,69334,516203,585537,17743554,11.841096,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,214,70404,519977,590381,17890320,11.925181,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,215,75082,485849,560931,16997895,13.385247,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,216,73326,492609,565935,17149544,12.956612,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,217,71494,485250,556744,16871042,12.841450,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,218,79354,508641,587995,17818018,13.495693,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,219,70198,527824,598022,18121888,11.738364,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,220,78337,530169,608506,18439584,12.873661,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,221,79324,533958,613282,18584309,12.934343,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,222,72984,509068,582052,17637930,12.539086,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,223,68723,524469,593192,17975526,11.585288,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,224,69878,519053,588931,17846379,11.865227,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,225,73302,517030,590332,17888840,12.417081,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,226,81484,528197,609681,18475167,13.365022,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,227,72471,504140,576611,17473075,12.568439,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,228,71342,537706,609048,18456006,11.713691,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,229,65322,514089,579411,17557914,11.273863,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,230,73251,509703,582954,17665263,12.565485,VERTIFIED,DATA
DATA,DATASET,S0,CPU_ONLY,_RUN_1,231,65607,517155,582762,17659462,11.257941,VERTIFIED,DATA
